date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2000-04-01,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.05007,-0.16722,-0.09864,1.09091,7803.328512,1.92685695210338,0.39937,0.16552,-0.06304,0.10691,0.96835
2000-04-01,AUS,AUD,Australia,2.59,1.68,1.54166666666667,-0.31176,-0.35246,-0.48645,-0.44416,0.28939,29182.8194594595,2.31860180574747,-0.28286,-0.4027,-0.51983,-0.43274,0.00873
2000-04-01,BRA,BRL,Brazil,2.95,1.79,1.64804469273743,-0.26427,-0.30778,-0.45102,-0.40581,0.37836,4822.73898305085,1.87224243337322,-0.0506,-0.20925,-0.36432,-0.24902,0.33543
2000-04-01,CAN,CAD,Canada,2.85,1.47,1.93877551020408,-0.13448,-0.18566,-0.35417,-0.30099,0.62152,26087.3292350877,2.26188191621019,-0.07552,-0.23,-0.381,-0.26873,0.30038
2000-04-01,CHE,CHF,Switzerland,5.9,1.7,3.47058823529412,0.54937,0.45774,0.15609,0.2513,1.90267,23822.7428338983,2.22038700548109,0.68584,0.40412,0.12877,0.33351,1.3713
2000-04-01,CHL,CLP,Chile,1260,514,2.45136186770428,0.09436,0.02964,-0.18342,-0.11618,1.05023,4509.62359822222,1.86650509655333,0.41651,0.1798,-0.05156,0.12047,0.99247
2000-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.46623,-0.49779,-0.60171,-0.56891,0,1639.66393535354,1.81391769253806,-0.28907,-0.40787,-0.52399,-0.43765,0
2000-04-01,CZE,CZK,Czech Republic,54.37,39.1,1.39053708439898,-0.37922,-0.41594,-0.5368,-0.49865,0.16299,9078.06954717675,1.95021453538198,-0.23097,-0.35948,-0.48509,-0.3917,0.08172
2000-04-01,DNK,DKK,Denmark,24.75,8.04,3.07835820895522,0.37427,0.29299,0.02544,0.10988,1.57463,21137.3539038384,2.17118156387497,0.5292,0.27366,0.02389,0.2096,1.15098
2000-04-01,EUZ,EUR,Euro area,2.56,1.075268817,2.38080000045235,0.06286,0,-0.20693,-0.14162,0.99121,19365.5904920567,2.13871684335632,0.20064,0,-0.1961,-0.05029,0.68882
2000-04-01,GBR,GBP,Britain,1.9,0.632911392,3.00200000192128,0.34018,0.26092,0,0.08235,1.51076,20958.6000842105,2.16790618706266,0.49352,0.24394,0,0.18138,1.10079
2000-04-01,HKG,HKD,Hong Kong,10.2,7.79,1.30937098844673,-0.41546,-0.45003,-0.56383,-0.52791,0.09511,42546.0751058824,2.56346201501445,-0.44909,-0.54115,-0.63114,-0.56423,-0.22509
2000-04-01,HUN,HUF,Hungary,339,279,1.21505376344086,-0.45757,-0.48964,-0.59525,-0.56192,0.01623,7513.2264741003,1.92154129792536,-0.31799,-0.43196,-0.54336,-0.46053,-0.04069
2000-04-01,IDN,IDR,Indonesia,14500,7945,1.82504719949654,-0.18525,-0.23343,-0.39206,-0.34199,0.5264,1006.67527620414,1.80231919142097,0.09216,-0.09035,-0.26874,-0.1361,0.53623
2000-04-01,ISR,ILS,Israel,14.5,4.05,3.58024691358025,0.59832,0.5038,0.19262,0.29084,1.99439,12683.7784717241,2.01628336360625,0.91515,0.59511,0.2823,0.51489,1.69385
2000-04-01,JPN,JPY,Japan,294,106,2.77358490566038,0.23821,0.16498,-0.07609,0,1.31973,31783.5932114286,2.36625681003781,0.26422,0.05296,-0.15353,0,0.77825
2000-04-01,KOR,KRW,South Korea,3000,1108,2.70758122743682,0.20874,0.13726,-0.09807,-0.0238,1.26452,9819.62765504,1.96380239737306,0.48705,0.23855,-0.00433,0.17626,1.09169
2000-04-01,MEX,MXN,Mexico,20.9,9.41,2.22104144527099,-0.00846,-0.0671,-0.26015,-0.19922,0.8576,6594.38380095694,1.90470498084947,0.25768,0.04751,-0.15791,-0.00517,0.76906
2000-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,-0.46898,-0.50039,-0.60377,-0.57114,-0.00517,7085.99320353983,1.91371293402937,-0.32962,-0.44165,-0.55114,-0.46973,-0.05705
2000-04-01,NZL,NZD,New Zealand,3.4,2.01,1.69154228855721,-0.24485,-0.28951,-0.43653,-0.39012,0.41474,19095.9756235294,2.13377658367141,-0.14498,-0.28786,-0.42752,-0.32368,0.20267
2000-04-01,POL,PLN,Poland,5.5,4.3,1.27906976744186,-0.42899,-0.46276,-0.57393,-0.53884,0.06977,7047.41713454545,1.91300608948665,-0.27886,-0.39937,-0.51716,-0.42958,0.01436
2000-04-01,RUS,RUB,Russia,39.5,28.5,1.3859649122807,-0.38127,-0.41786,-0.53832,-0.5003,0.15917,1990.70495594937,1.82034995575584,-0.17882,-0.31604,-0.45017,-0.35044,0.15507
2000-04-01,SGP,SGD,Singapore,3.2,1.7,1.88235294117647,-0.15966,-0.20936,-0.37297,-0.32133,0.57433,25861.0541,2.25773578757242,-0.10077,-0.25104,-0.39792,-0.28871,0.26485
2000-04-01,SWE,SEK,Sweden,24,8.84,2.71493212669683,0.21202,0.14034,-0.09563,-0.02115,1.27067,23872.2992666667,2.22129504756449,0.31824,0.09795,-0.11736,0.04273,0.85424
2000-04-01,THA,THB,Thailand,55,38,1.44736842105263,-0.35385,-0.39207,-0.51787,-0.47816,0.21053,3131.31668945455,1.84124983488322,-0.15217,-0.29385,-0.43233,-0.32936,0.19256
2000-04-01,TWN,TWD,Taiwan,70,30.6,2.28758169934641,0.02124,-0.03915,-0.23798,-0.17523,0.91325,14201.457536,2.04409239630841,0.20703,0.00532,-0.19182,-0.04523,0.69781
2000-04-01,USA,USD,United States,2.24,1,2.24,0,-0.05914,-0.25383,-0.19238,0.87345,34496.241,2.41596172647073,0,-0.16711,-0.33044,-0.209,0.4066
2000-04-01,ZAF,ZAR,South Africa,9,6.72,1.33928571428571,-0.4021,-0.43746,-0.55387,-0.51713,0.12013,5208.99729777778,1.8793199969758,-0.23137,-0.35982,-0.48536,-0.39201,0.08115
2001-04-01,ARG,ARS,Argentina,2.5,1,2.5,0.11607,0.10541,-0.12148,0.05442,1.09091,7740.134528,1.70758791105313,0.56168,0.29848,0.04181,0.41428,0.91745
2001-04-01,AUS,AUD,Australia,3,1.98,1.51515151515152,-0.32359,-0.33005,-0.46756,-0.36096,0.26722,26815.7022933333,2.16275535436934,-0.25272,-0.37866,-0.50148,-0.32325,-0.08248
2001-04-01,BRA,BRL,Brazil,3.6,2.19,1.64383561643836,-0.26614,-0.27315,-0.42234,-0.30668,0.37484,4270.8624,1.62480664110112,0.07917,-0.10271,-0.28008,-0.02268,0.32503
2001-04-01,CAN,CAD,Canada,3.33,1.56,2.13461538461538,-0.04705,-0.05615,-0.24988,-0.09969,0.78531,24276.8953273273,2.10217617318814,0.08314,-0.09941,-0.27743,-0.01909,0.3299
2001-04-01,CHE,CHF,Switzerland,6.3,1.73,3.64161849710983,0.62572,0.6102,0.27969,0.53592,2.04572,23409.2487111111,2.0814730152605,0.8662,0.55168,0.24495,0.69006,1.29135
2001-04-01,CHL,CLP,Chile,1260,601,2.09650582362729,-0.06406,-0.073,-0.26327,-0.11576,0.75344,4891.30858666667,1.63961128062611,0.36392,0.13405,-0.09012,0.23519,0.67465
2001-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.46623,-0.47132,-0.57984,-0.49571,0,1803.49934545455,1.56593220301958,-0.18555,-0.32281,-0.45667,-0.26242,0
2001-04-01,CZE,CZK,Czech Republic,56,39,1.43589743589744,-0.35897,-0.3651,-0.49542,-0.39438,0.20093,9339.082,1.74574084268695,-0.12264,-0.27051,-0.41471,-0.20545,0.07724
2001-04-01,DNK,DKK,Denmark,24.75,8.46,2.92553191489362,0.30604,0.29357,0.02805,0.2339,1.44681,22515.5174787879,2.06014744503199,0.51475,0.25946,0.0105,0.37178,0.85984
2001-04-01,EUZ,EUR,Euro area,2.57,1.136363636,2.26160000072371,0.00964,0,-0.20526,-0.04613,0.89152,20238.9234736622,2.00582500045106,0.2027,0,-0.19767,0.08919,0.4767
2001-04-01,GBR,GBP,Britain,1.99,0.699300699,2.84570000122365,0.2704,0.25827,0,0.20023,1.38004,21041.2902914573,2.02497049889967,0.49901,0.24637,0,0.35753,0.84051
2001-04-01,HKG,HKD,Hong Kong,10.7,7.8,1.37179487179487,-0.38759,-0.39344,-0.51794,-0.42142,0.14732,41719.4680523365,2.51837826634564,-0.41896,-0.51689,-0.61239,-0.4738,-0.28659
