date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2001-04-01,PHL,PHP,Philippines,59,50.3,1.17296222664016,1650.79647457627,1.56726253580185,-0.20763,,-0.46946,-0.27236,-0.01944
2001-04-01,POL,PLN,Poland,5.9,4.03,1.46401985111663,6549.09938983051,1.6872107177851,-0.08132,,-0.38489,-0.15637,0.13687
2001-04-01,RUS,RUB,Russia,35,28.9,1.21107266435986,2251.61984,1.58197531931534,-0.18949,,-0.45732,-0.25571,0.003
2001-04-01,SGP,SGD,Singapore,3.3,1.81,1.8232044198895,25077.3837575758,2.14092582353297,-0.09838,,-0.39631,-0.17205,0.11575
2001-04-01,ZAF,ZAR,South Africa,9.7,8.13,1.19311193111931,4833.09096907217,1.64518961498704,-0.23219,,-0.48591,-0.29492,-0.04984
2001-04-01,KOR,KRW,South Korea,3000,1325,2.26415094339623,9473.3959712,1.75882002096289,0.36293,,-0.08744,0.25157,0.68662
2001-04-01,SWE,SEK,Sweden,24,10.28,2.33463035019455,23850.876,2.11089146709262,0.17096,,-0.21598,0.07529,0.44905
2001-04-01,CHE,CHF,Switzerland,6.3,1.73,3.64161849710983,22303.5804444444,2.07300175465739,0.85987,,0.24529,0.70792,1.30158
2001-04-01,TWN,TWD,Taiwan,70,32.9,2.12765957446809,14201.4576,1.87459938505922,0.20166,,-0.19542,0.10348,0.48705
2001-04-01,THA,THB,Thailand,55,45.5,1.20879120879121,3131.31677090909,1.60351707558978,-0.20188,,-0.46561,-0.26709,-0.01233
2001-04-01,USA,USD,United States,2.24,1,2.24,34496.24,2.37157196816442,0,,-0.33044,-0.0817,0.2375
2002-04-01,ARG,ARS,Argentina,2.5,3.13,0.798722044728435,8120.2276,1.88176362822297,-0.55845,-0.6197,-0.68219,-0.47862,-0.41264
2002-04-01,AUS,AUD,Australia,3,1.86,1.61290322580645,28110.0811666667,2.28086564571237,-0.26438,-0.36642,-0.47052,-0.13137,-0.02145
2002-04-01,BRA,BRL,Brazil,3.6,2.34,1.53846153846154,4615.47180555556,1.81179037385643,-0.11667,-0.2392,-0.36421,0.04305,0.17504
2002-04-01,GBR,GBP,Britain,1.99,0.689655172,2.8855000017313,22082.4067839196,2.16052174229654,0.38934,0.19662,0,0.64054,0.84815
2002-04-01,CAN,CAD,Canada,3.33,1.57,2.12101910828025,25469.0671171171,2.22813719365653,-0.00974,-0.1471,-0.28725,0.16931,0.31728
2002-04-01,CHL,CLP,Chile,1400,655,2.13740458015267,4618.35609857143,1.81184795942892,0.22719,0.05696,-0.11671,0.44907,0.63245
2002-04-01,CHN,CNY,China,10.5,8.28,1.26811594202899,1762.30304761905,1.75482620432249,-0.24825,-0.35253,-0.45892,-0.11233,0
2002-04-01,CZE,CZK,Czech Republic,56.28,34,1.65529411764706,9694.46986496091,1.91319373659609,-0.09996,-0.22481,-0.35218,0.06278,0.19727
2002-04-01,DNK,DKK,Denmark,24.75,8.38,2.95346062052506,23637.7213939394,2.19157395569167,0.40191,0.20745,0.00905,0.65539,0.86488
2002-04-01,EUZ,EUR,Euro area,2.67,1.123595506,2.37629999919206,20508.5270231284,2.12909887140243,0.16105,0,-0.16431,0.37098,0.54447
2002-04-01,HKG,HKD,Hong Kong,11.2,8,1.4,41814.255,2.55447262370589,-0.42987,-0.50895,-0.58964,-0.32679,-0.24159
2002-04-01,HUN,HUF,Hungary,459,272,1.6875,6673.53005119826,1.85287997940093,-0.05258,-0.184,-0.31808,0.11872,0.26029
2002-04-01,IDN,IDR,Indonesia,16000,9430,1.69671261930011,1076.3353528125,1.74113070175081,0.01373,-0.12688,-0.27035,0.19702,0.3485
2002-04-01,ISR,ILS,Israel,12,4.79,2.50521920668058,17280.096375,2.06464251204514,0.26225,0.08716,-0.09147,0.49048,0.6791
2002-04-01,JPN,JPY,Japan,262,130,2.01538461538462,37864.5516087786,2.47561588837943,-0.15312,-0.27059,-0.39045,0,0.12655
2002-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,7703.41656746032,1.87344190023014,-0.26353,-0.36569,-0.46992,-0.13037,-0.02033
2002-04-01,MEX,MXN,Mexico,21.9,9.28,2.35991379310345,7621.81616438356,1.8718127294417,0.31153,0.12961,-0.056,0.54867,0.74465
2002-04-01,NZL,NZD,New Zealand,3.6,2.24,1.60714285714286,20012.1822222222,2.11918923345779,-0.21108,-0.32052,-0.43216,-0.06844,0.04945
2002-04-01,NOR,NOK,Norway,35,8.56,4.08878504672897,22513.1752428571,2.16912213351298,0.9609,0.6889,0.41139,1.31545,1.60847
2002-04-01,PER,PEN,Peru,8.5,3.43,2.47813411078717,1871.20823529412,1.75700052140647,0.46723,0.26371,0.05606,0.73252,0.95177
2002-04-01,PHL,PHP,Philippines,65,51,1.27450980392157,1737.24292307692,1.7543258731805,-0.24425,-0.34908,-0.45604,-0.1076,0.00533
2002-04-01,POL,PLN,Poland,5.9,4.04,1.46039603960396,7763.93398305085,1.87465014433132,-0.18961,-0.30202,-0.41671,-0.04308,0.07802
2002-04-01,RUS,RUB,Russia,39,31.2,1.25,3223.80291025641,1.78400538473988,-0.27111,-0.37222,-0.47537,-0.13933,-0.03041
2002-04-01,SGP,SGD,Singapore,3.3,1.82,1.81318681318681,29283.4283333333,2.30429179137523,-0.18144,-0.29498,-0.41083,-0.03344,0.08888
2002-04-01,ZAF,ZAR,South Africa,9.7,10.9,0.889908256880734,5682.44293814433,1.83309269756775,-0.49498,-0.56503,-0.63651,-0.40367,-0.32821
2002-04-01,KOR,KRW,South Korea,3100,1304,2.37730061349693,10508.4171619355,1.92944438131788,0.28173,0.10394,-0.07745,0.51348,0.70501
2002-04-01,SWE,SEK,Sweden,26,10.4,2.5,24503.5349615385,2.20886012241851,0.17738,0.01407,-0.15256,0.39026,0.5662
2002-04-01,CHE,CHF,Switzerland,6.3,1.66,3.79518072289157,24553.5423015873,2.20985853044767,0.78655,0.53873,0.2859,1.10957,1.37653
2002-04-01,TWN,TWD,Taiwan,70,34.8,2.01149425287356,15565.3478714286,2.03040716434838,0.03058,-0.11237,-0.25822,0.21692,0.37092
2002-04-01,THA,THB,Thailand,55,43.3,1.270207852194,3440.99305454546,1.78834163585225,-0.26113,-0.36362,-0.46818,-0.12753,-0.01712
2002-04-01,TUR,TRY,Turkey,4e+06,1324500,3.02000755001888,0.0015565225,1.71964145030838,0.82691,0.57349,0.31495,1.15723,1.43022
2002-04-01,USA,USD,United States,2.35,1,2.35,36312.78,2.44463441181779,0,-0.13871,-0.28023,0.18081,0.33024
2003-04-01,ARG,ARS,Argentina,4.1,2.88,1.42361111111111,4851.216,1.8797507617816,-0.15394,-0.40479,-0.42334,-0.02652,0.14457
2003-04-01,AUS,AUD,Australia,3,1.61,1.86335403726708,30870.4908,2.58039254286109,-0.19329,-0.43247,-0.45016,-0.07179,0.09134
