date,iso_a3,local_price,note
2022-07-01,VEN,-,"Price unavailable"
2022-07-01,DNK,-,"Price unavailable"
2022-07-01,CAN,5.88,"Update from McDonalds 2023-01-01"
2023-01-01,HRV,-,"Joined the Euro January 1st, Euro price not available"
