name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Denmark,DNK,DKK,28,4.7044,58786.14,320014.158,2008-06-01
Egypt,EGY,EGP,13,5.3125,1862.164,10640.477,2008-06-01
Euro area,EUZ,EUR,3.36856,0.630497147,40064.4935950082,29230.5104798945,2008-06-01
Britain,GBR,GBP,2.29,0.501039657,50419.848,25190.186,2008-06-01
Hong Kong,HKG,HKD,13.3,7.7974,30494.551,237915.946,2008-06-01
Hungary,HUN,HUF,670,144.2578,13920.455,2556155.176,2008-06-01
Indonesia,IDN,IDR,18700,9152,2064.003,18867051.346,2008-06-01
Japan,JPN,JPY,280,106.855,35847.232,4221138.107,2008-06-01
South Korea,KOR,KRW,3200,1018.05,25075.287,23304365.627,2008-06-01
Sri Lanka,LKA,LKR,210,107.55,1928.714,213364.891,2008-06-01
Mexico,MEX,MXN,32,10.1685,10063.621,109977.177,2008-06-01
Malaysia,MYS,MYR,5.5,3.238,7480.893,25716.236,2008-06-01
Norway,NOR,NOK,40,5.07915,85276.992,499865.3,2008-06-01
New Zealand,NZL,NZD,4.9,1.3177,31910.291,43349.108,2008-06-01
Pakistan,PAK,PKR,140,70.9,1146.082,69491.716,2008-06-01
Peru,PER,PEN,9.5,2.84,3633.714,11368.075,2008-06-01
Philippines,PHL,PHP,87,44.485,1764.683,81437.301,2008-06-01
Poland,POL,PLN,7,2.03145,11271.071,31197.761,2008-06-01
Russia,RUS,RUB,59,23.2336,9757.464,249452.971,2008-06-01
Saudi Arabia,SAU,SAR,10,3.74955,19196.057,71985.215,2008-06-01
Singapore,SGP,SGD,3.95,1.35275,39432.895,59429.381,2008-06-01
Sweden,SWE,SEK,38,5.96085,53365.334,360684.017,2008-06-01
Thailand,THA,THB,62,33.36,3973.019,137141.401,2008-06-01
Turkey,TUR,TRY,5.15,1.19275,9790.887,12725.639,2008-06-01
Taiwan,TWN,TWD,75,30.3625,17723.704,582093.712,2008-06-01
Ukraine,UKR,UAH,11,4.6,3101.388,15662.011,2008-06-01
Uruguay,URY,UYU,61,19.15,7622.824,178473.82,2008-06-01
United States,USA,USD,3.21,1,47943.353,47943.353,2008-06-01
South Africa,ZAF,ZAR,16.95,7.56325,6752.256,47633.228,2008-06-01
UAE,ARE,AED,10,3.673,48548.6,178294.735,2009-07-01
Argentina,ARG,ARS,11.5,3.81125,9146.79,28925.107,2009-07-01
Australia,AUS,AUD,4.34,1.2869,49198.337,57524.1,2009-07-01
Brazil,BRA,BRL,8.03,1.9971,8863.269,16253.168,2009-07-01
Canada,CAN,CAD,3.89,1.16085,46773.744,49911.651,2009-07-01
Switzerland,CHE,CHF,6.5,1.08605,74667.752,80871.895,2009-07-01
Chile,CHL,CLP,1750,548.55,10759.738,5621541.795,2009-07-01
China,CHN,CNY,12.5,6.8327,3503.948,24348.353,2009-07-01
Colombia,COL,COP,7000,2095.6,5622.109,11048217.466,2009-07-01
Costa Rica,CRI,CRC,2000,582.57,6993.896,3680436.753,2009-07-01
Czech Republic,CZE,CZK,67.92,18.66155,22895.716,390350.892,2009-07-01
Denmark,DNK,DKK,29.5,5.3375,64826.681,330494.9,2009-07-01
Egypt,EGY,EGP,13,5.58475,2271.232,12521.23,2009-07-01
Euro area,EUZ,EUR,3.31,0.716897269,43743.5650206724,29745.5027693268,2009-07-01
Britain,GBR,GBP,2.29,0.620886626,47884.16,25776.398,2009-07-01
Hong Kong,HKG,HKD,13.3,7.7505,31487.94,245191.344,2009-07-01
Hungary,HUN,HUF,720,199.1577,15751.94,2711118.865,2009-07-01
Indonesia,IDN,IDR,20900,10200,2416.785,23440305.605,2009-07-01
Israel,ISR,ILS,15,3.97425,30240.201,108502.482,2009-07-01
Japan,JPN,JPY,320,92.565,39992.06,4133559.049,2009-07-01
South Korea,KOR,KRW,3400,1314.5,22291.166,24523087.57,2009-07-01
Sri Lanka,LKA,LKR,210,114.86,2410.801,261101.401,2009-07-01
Mexico,MEX,MXN,33,13.8104,10438.499,116177.533,2009-07-01
Malaysia,MYS,MYR,6.77,3.602,8766.175,29220.29,2009-07-01
Norway,NOR,NOK,40,6.50925,97119.989,547756.736,2009-07-01
New Zealand,NZL,NZD,4.9,1.59235,31817.533,44526.513,2009-07-01
Pakistan,PAK,PKR,190,82.6,1228.232,76821.582,2009-07-01
Peru,PER,PEN,8.056,3.0274,4272.018,12495.654,2009-07-01
Philippines,PHL,PHP,99.39,48.385,2011.634,89466.537,2009-07-01
Poland,POL,PLN,7.6,3.15525,14052.295,33855.374,2009-07-01
Russia,RUS,RUB,67,32.7959,12463.775,309833.172,2009-07-01
Saudi Arabia,SAU,SAR,11,3.7504,23403.639,87763.644,2009-07-01
Singapore,SGP,SGD,4.22,1.4645,40008.577,56606.568,2009-07-01
Sweden,SWE,SEK,39,7.90915,55595.816,366437.537,2009-07-01
Thailand,THA,THB,64.49,34.165,4379.659,145900.887,2009-07-01
Turkey,TUR,TRY,5.65,1.55005,11089.025,14203.976,2009-07-01
Taiwan,TWN,TWD,75,33.1755,18053.591,569304.959,2009-07-01
Ukraine,UKR,UAH,14,7.66,3944.724,20763.38,2009-07-01
Uruguay,URY,UYU,61,23.17,9857.304,206366.777,2009-07-01
United States,USA,USD,3.43,1,48470.553,48470.553,2009-07-01
South Africa,ZAF,ZAR,17.95,8.2805,6337.933,52299.563,2009-07-01
UAE,ARE,AED,11,3.673,48548.6,178294.735,2010-01-01
Argentina,ARG,ARS,7,3.7985,9146.79,28925.107,2010-01-01
Australia,AUS,AUD,4.35,1.09355,49198.337,57524.1,2010-01-01
Brazil,BRA,BRL,8.2,1.7233,8863.269,16253.168,2010-01-01
Canada,CAN,CAD,4.12,1.0368,46773.744,49911.651,2010-01-01
Switzerland,CHE,CHF,6.5,1.03115,74667.752,80871.895,2010-01-01
Chile,CHL,CLP,1600,503.1,10759.738,5621541.795,2010-01-01
China,CHN,CNY,12.5,6.8272,3503.948,24348.353,2010-01-01
Colombia,COL,COP,8200,2095.6,5622.109,11048217.466,2010-01-01
Costa Rica,CRI,CRC,2050,582.57,6993.896,3680436.753,2010-01-01
Czech Republic,CZE,CZK,67.64,18.21005,22895.716,390350.892,2010-01-01
Denmark,DNK,DKK,30.94,5.16195,64826.681,330494.9,2010-01-01
Egypt,EGY,EGP,13,5.465,2271.232,12521.23,2010-01-01
Euro area,EUZ,EUR,3.36,0.693649638,43743.5650206724,29745.5027693268,2010-01-01
Britain,GBR,GBP,2.29,0.623752495,47884.16,25776.398,2010-01-01
Hong Kong,HKG,HKD,14.8,7.75655,31487.94,245191.344,2010-01-01
Hungary,HUN,HUF,720,186.6508,15751.94,2711118.865,2010-01-01
Indonesia,IDN,IDR,20900,9320,2416.785,23440305.605,2010-01-01
Israel,ISR,ILS,14.9,3.7325,30240.201,108502.482,2010-01-01
Japan,JPN,JPY,320,91.54,39992.06,4133559.049,2010-01-01
South Korea,KOR,KRW,3400,1140.5,22291.166,24523087.57,2010-01-01
Sri Lanka,LKA,LKR,210,114.86,2410.801,261101.401,2010-01-01
Mexico,MEX,MXN,32,12.81375,10438.499,116177.533,2010-01-01
Malaysia,MYS,MYR,7.05,3.3875,8766.175,29220.29,2010-01-01
Norway,NOR,NOK,40,5.69555,97119.989,547756.736,2010-01-01
New Zealand,NZL,NZD,4.9,1.35685,31817.533,44526.513,2010-01-01
Pakistan,PAK,PKR,200,82.6,1228.232,76821.582,2010-01-01
Peru,PER,PEN,8.056,2.8705,4272.018,12495.654,2010-01-01
Philippines,PHL,PHP,101.52,45.92,2011.634,89466.537,2010-01-01
Poland,POL,PLN,8.1,2.83565,14052.295,33855.374,2010-01-01
Russia,RUS,RUB,70,29.927,12463.775,309833.172,2010-01-01
Saudi Arabia,SAU,SAR,10,3.7502,23403.639,87763.644,2010-01-01
Singapore,SGP,SGD,4.45,1.39555,40008.577,56606.568,2010-01-01
Sweden,SWE,SEK,39,7.0821,55595.816,366437.537,2010-01-01
Thailand,THA,THB,70,33.135,4379.659,145900.887,2010-01-01
Turkey,TUR,TRY,5.65,1.47455,11089.025,14203.976,2010-01-01
Taiwan,TWN,TWD,75,31.8425,18053.591,569304.959,2010-01-01
Ukraine,UKR,UAH,14,7.66,3944.724,20763.38,2010-01-01
Uruguay,URY,UYU,77,23.17,9857.304,206366.777,2010-01-01
United States,USA,USD,3.43,1,48470.553,48470.553,2010-01-01
South Africa,ZAF,ZAR,17.95,7.3045,6337.933,52299.563,2010-01-01
UAE,ARE,AED,11,3.67285,37428.383,137455.736,2010-07-01
Argentina,ARG,ARS,14,3.93375,8337.811,31093.737,2010-07-01
Australia,AUS,AUD,4.35,1.133722578,45771.876,57843.63,2010-07-01
Brazil,BRA,BRL,8.71,1.77495,8640.934,17254.073,2010-07-01
Canada,CAN,CAD,4.17,1.04235,40989.278,46790.712,2010-07-01
Switzerland,CHE,CHF,6.5,1.05085,71914.025,78252.649,2010-07-01
Chile,CHL,CLP,1750,523.65,10176.733,5695043.705,2010-07-01
China,CHN,CNY,13.2,6.7769,3878.741,26497.295,2010-07-01
Colombia,COL,COP,8200,1868.45,5330.795,11501714.225,2010-07-01
Costa Rica,CRI,CRC,2000,522.115,6879.266,3943794.751,2010-07-01
Czech Republic,CZE,CZK,67.64,19.7476,19863.767,378437.284,2010-07-01
Denmark,DNK,DKK,28.5,5.81365,58536.553,313806.655,2010-07-01
Egypt,EGY,EGP,13,5.699,2578.884,14250.299,2010-07-01
Euro area,EUZ,EUR,3.380031071,0.78015291,39531.3019034714,28373.0810053559,2010-07-01
Britain,GBR,GBP,2.29,0.657375756,38892.333,24875.958,2010-07-01
Hong Kong,HKG,HKD,14.8,7.7742,30593.991,237156.966,2010-07-01
Hungary,HUN,HUF,740,221.96915,13040.321,2638600.239,2010-07-01
Indonesia,IDN,IDR,22780,9063,2469.384,25656746.413,2010-07-01
Israel,ISR,ILS,14.9,3.8619,28482.937,112004.464,2010-07-01
Japan,JPN,JPY,320,87.18,41469.773,3880330.353,2010-07-01
South Korea,KOR,KRW,3400,1204.45,19933.009,25458538.182,2010-07-01
Sri Lanka,LKA,LKR,210,112.775,2472.242,284252.723,2010-07-01
Mexico,MEX,MXN,32,12.782,8346.772,112793.89,2010-07-01
Malaysia,MYS,MYR,7.05,3.2135,7543.882,26589.239,2010-07-01
Norway,NOR,NOK,45,6.24625,80115.693,503794.183,2010-07-01
New Zealand,NZL,NZD,5,1.39275766,28342.325,44684.894,2010-07-01
Pakistan,PAK,PKR,210,85.525,1108.978,87175.873,2010-07-01
Peru,PER,PEN,10,2.8275,4290.457,12919.817,2010-07-01
Philippines,PHL,PHP,102,46.47,1923.674,91638.499,2010-07-01
Poland,POL,PLN,8.3,3.1969,11562.706,36072.175,2010-07-01
Russia,RUS,RUB,71,30.44325,9160.09,291207.468,2010-07-01
Saudi Arabia,SAU,SAR,10,3.75045,18836.955,70638.582,2010-07-01
Singapore,SGP,SGD,4.23,1.3742,38926.813,56619.622,2010-07-01
Sweden,SWE,SEK,48.4,7.37355,46496.672,355877.119,2010-07-01
Thailand,THA,THB,70,32.305,4213.01,144446.304,2010-07-01
Turkey,TUR,TRY,5.95,1.5293,9108.034,14068.911,2010-07-01
Taiwan,TWN,TWD,75,32.1055,16904.543,558805.035,2010-07-01
Ukraine,UKR,UAH,14.5,7.899,2557.279,19924.373,2010-07-01
Uruguay,URY,UYU,79,21.1,10232.122,230759.931,2010-07-01
United States,USA,USD,3.53,1,47102.428,47102.428,2010-07-01
South Africa,ZAF,ZAR,18.45,7.5365,6538.166,55163.047,2010-07-01
UAE,ARE,AED,12,3.67305,44180.166,162251.661,2011-07-01
Argentina,ARG,ARS,20,4.1325,10412.974,40739.985,2011-07-01
Australia,AUS,AUD,4.56,0.922381589,56584.667,61538.568,2011-07-01
Austria,AUT,EUR,3.09,0.697520315,46662.235,35169.02,2011-07-01
Belgium,BEL,EUR,3.75,0.697520315,44460.655,33509.703,2011-07-01
Brazil,BRA,BRL,9.5,1.5416,11341.268,19953.07,2011-07-01
Canada,CAN,CAD,4.73,0.94585,47625.742,49059.883,2011-07-01
Switzerland,CHE,CHF,6.5,0.80615,76847.824,80145.03,2011-07-01
Chile,CHL,CLP,1850,462.75,12723.064,6491932.777,2011-07-01
China,CHN,CNY,14.65,6.445,4578.228,30995.749,2011-07-01
Colombia,COL,COP,8400,1770.5,6498.585,12340797.452,2011-07-01
Costa Rica,CRI,CRC,2050,504.305,8268.859,4348350.66,2011-07-01
Czech Republic,CZE,CZK,69.32,17.0219,20184.18,385482.516,2011-07-01
Germany,DEU,EUR,3.4,0.697520315,43220.097,32574.703,2011-07-01
Denmark,DNK,DKK,28.5,5.19845,58240.45,327548.657,2011-07-01
Egypt,EGY,EGP,14.09,5.962,2922.796,16120.846,2011-07-01
Spain,ESP,EUR,3.5,0.697520315,30624.424,23081.427,2011-07-01
Estonia,EST,EUR,2.2,0.697520315,14697.472,11071.751,2011-07-01
Euro area,EUZ,EUR,3.437660401,0.697520315,38608.671380722,29099.1110812839,2011-07-01
Finland,FIN,EUR,3.75,0.697520315,46647.994,35158.286,2011-07-01
France,FRA,EUR,3.5,0.697520315,40988.558,30892.806,2011-07-01
Britain,GBR,GBP,2.39,0.614137444,39641.869,25630.226,2011-07-01
Greece,GRC,EUR,3.26,0.697520315,26679.741,20108.345,2011-07-01
Hong Kong,HKG,HKD,15.1,7.7918,32421.361,251886.956,2011-07-01
Hungary,HUN,HUF,760,188.0724,13171.433,2738922.708,2011-07-01
Indonesia,IDN,IDR,22534,8523,3177.453,28884425.178,2011-07-01
India,IND,INR,84,44.4,1347.519,61395.924,2011-07-01
Ireland,IRL,EUR,3.8,0.697520315,48580.832,36615.053,2011-07-01
Israel,ISR,ILS,15.9,3.40335,31410.39,117442.663,2011-07-01
Italy,ITA,EUR,3.5,0.697520315,35963.743,27105.636,2011-07-01
Japan,JPN,JPY,320,78.365,45135.796,3962014.51,2011-07-01
South Korea,KOR,KRW,3700,1056.2,24069.073,27837451.713,2011-07-01
Sri Lanka,LKA,LKR,280,109.475,2894.26,327201.299,2011-07-01
Mexico,MEX,MXN,32,11.67075,9632.818,121720.366,2011-07-01
Malaysia,MYS,MYR,7.2,2.973,9046.978,29141.126,2011-07-01
Netherlands,NLD,EUR,3.25,0.697520315,51472.808,38794.717,2011-07-01
Norway,NOR,NOK,45,5.41405,87823.805,530821.713,2011-07-01
New Zealand,NZL,NZD,5.1,1.156069364,33479.362,46415.575,2011-07-01
Pakistan,PAK,PKR,205.13,86.345,1137.985,95493.77,2011-07-01
Peru,PER,PEN,10,2.7375,5202.808,14698.149,2011-07-01
Philippines,PHL,PHP,118,42.41,2237.157,100917.447,2011-07-01
Poland,POL,PLN,8.63,2.7968,12574.314,37915.329,2011-07-01
Portugal,PRT,EUR,2.9,0.697520315,22570.36,17011.132,2011-07-01
Russia,RUS,RUB,75,27.7525,11432.391,347342.071,2011-07-01
Saudi Arabia,SAU,SAR,10,3.7502,22028.368,82606.38,2011-07-01
Singapore,SGP,SGD,4.41,1.20705,47236.672,64407.595,2011-07-01
Sweden,SWE,SEK,48.4,6.3352,52333.624,377195.857,2011-07-01
Thailand,THA,THB,70,29.75,5076.339,160847.382,2011-07-01
Turkey,TUR,TRY,6.5,1.72285,10705.548,16078.97,2011-07-01
Taiwan,TWN,TWD,75,28.834,19181.358,607040.425,2011-07-01
Ukraine,UKR,UAH,16.5,7.994,2982.814,23670.803,2011-07-01
Uruguay,URY,UYU,90,18.45,12943.943,259543.306,2011-07-01
United States,USA,USD,3.64,1,48586.288,48586.288,2011-07-01
Venezuela,VEN,VEF,28,4.29465,11158.18,,2011-07-01
South Africa,ZAF,ZAR,19.45,6.76885,8118.173,59441.941,2011-07-01
UAE,ARE,AED,12,3.673,44180.166,162251.661,2012-01-01
Argentina,ARG,ARS,20,4.3135,10412.974,40739.985,2012-01-01
Australia,AUS,AUD,4.8,0.972337012,56584.667,61538.568,2012-01-01
Austria,AUT,EUR,3.09,0.788239467,46662.235,35169.02,2012-01-01
Belgium,BEL,EUR,3.7,0.788239467,44460.655,33509.703,2012-01-01
Brazil,BRA,BRL,10.25,1.805,11341.268,19953.07,2012-01-01
Canada,CAN,CAD,4.73,1.02095,47625.742,49059.883,2012-01-01
Switzerland,CHE,CHF,6.5,0.9551,76847.824,80145.03,2012-01-01
Chile,CHL,CLP,2050,506.05,12723.064,6491932.777,2012-01-01
China,CHN,CNY,15.4,6.3155,4578.228,30995.749,2012-01-01
Colombia,COL,COP,8400,1852.15,6498.585,12340797.452,2012-01-01
Costa Rica,CRI,CRC,2050,509.54,8268.859,4348350.66,2012-01-01
Czech Republic,CZE,CZK,70.22,20.36535,20184.18,385482.516,2012-01-01
Germany,DEU,EUR,3.53,0.788239467,43220.097,32574.703,2012-01-01
Denmark,DNK,DKK,31.5,5.86135,58240.45,327548.657,2012-01-01
Egypt,EGY,EGP,15.5,6.037,2922.796,16120.846,2012-01-01
Spain,ESP,EUR,3.5,0.788239467,30624.424,23081.427,2012-01-01
Estonia,EST,EUR,2.04,0.788239467,14697.472,11071.751,2012-01-01
Euro area,EUZ,EUR,3.49245637,0.788239467,38608.671380722,29099.1110812839,2012-01-01
Finland,FIN,EUR,3.75,0.788239467,46647.994,35158.286,2012-01-01
France,FRA,EUR,3.6,0.788239467,40988.558,30892.806,2012-01-01
Britain,GBR,GBP,2.49,0.651253663,39641.869,25630.226,2012-01-01
Greece,GRC,EUR,3.3,0.788239467,26679.741,20108.345,2012-01-01
Hong Kong,HKG,HKD,16.5,7.76735,32421.361,251886.956,2012-01-01
Hungary,HUN,HUF,645,245.69425,13171.433,2738922.708,2012-01-01
Indonesia,IDN,IDR,22534,9160,3177.453,28884425.178,2012-01-01
India,IND,INR,84,51.905,1347.519,61395.924,2012-01-01
Ireland,IRL,EUR,3.8,0.788239467,48580.832,36615.053,2012-01-01
Israel,ISR,ILS,15.9,3.8485,31410.39,117442.663,2012-01-01
Italy,ITA,EUR,3.5,0.788239467,35963.743,27105.636,2012-01-01
Japan,JPN,JPY,320,76.92,45135.796,3962014.51,2012-01-01
South Korea,KOR,KRW,3700,1158.75,24069.073,27837451.713,2012-01-01
Sri Lanka,LKA,LKR,290,113.93,2894.26,327201.299,2012-01-01
Mexico,MEX,MXN,37,13.6844,9632.818,121720.366,2012-01-01
Malaysia,MYS,MYR,7.35,3.13955,9046.978,29141.126,2012-01-01
Netherlands,NLD,EUR,3.25,0.788239467,51472.808,38794.717,2012-01-01
Norway,NOR,NOK,41,6.0399,87823.805,530821.713,2012-01-01
New Zealand,NZL,NZD,5.1,1.26000126,33479.362,46415.575,2012-01-01
Pakistan,PAK,PKR,260,90.05,1137.985,95493.77,2012-01-01
Peru,PER,PEN,10,2.6925,5202.808,14698.149,2012-01-01
Philippines,PHL,PHP,118,44.005,2237.157,100917.447,2012-01-01
Poland,POL,PLN,9.1,3.52045,12574.314,37915.329,2012-01-01
Portugal,PRT,EUR,2.9,0.788239467,22570.36,17011.132,2012-01-01
Russia,RUS,RUB,81,31.7693,11432.391,347342.071,2012-01-01
Saudi Arabia,SAU,SAR,10,3.7502,22028.368,82606.38,2012-01-01
Singapore,SGP,SGD,4.85,1.2928,47236.672,64407.595,2012-01-01
Sweden,SWE,SEK,41,6.9338,52333.624,377195.857,2012-01-01
Thailand,THA,THB,78,31.75,5076.339,160847.382,2012-01-01
Turkey,TUR,TRY,6.6,1.86295,10705.548,16078.97,2012-01-01
Taiwan,TWN,TWD,75,29.9795,19181.358,607040.425,2012-01-01
Ukraine,UKR,UAH,17,8.0405,2982.814,23670.803,2012-01-01
Uruguay,URY,UYU,90,19.45,12943.943,259543.306,2012-01-01
United States,USA,USD,3.81,1,48586.288,48586.288,2012-01-01
Venezuela,VEN,VEF,30,4.29465,11158.18,,2012-01-01
South Africa,ZAF,ZAR,19.95,8.1304,8118.173,59441.941,2012-01-01
UAE,ARE,AED,12,3.67295,50925.197,187022.785,2012-07-01
Argentina,ARG,ARS,19,4.56625,12787.806,52810.117,2012-07-01
Australia,AUS,AUD,4.56,0.974326497,67289.332,65189.422,2012-07-01
Austria,AUT,EUR,3.19,0.824844311,51126.851,36736.705,2012-07-01
Belgium,BEL,EUR,3.8,0.824844311,47915.958,34429.549,2012-07-01
Brazil,BRA,BRL,10.08,2.04215,13326.088,22310.425,2012-07-01
Canada,CAN,CAD,5.12,1.01945,52285.815,51724.169,2012-07-01
Switzerland,CHE,CHF,6.5,0.9906,90960.228,80776.506,2012-07-01
Chile,CHL,CLP,2050,493.05,14560.249,7042319.42,2012-07-01
China,CHN,CNY,15.65,6.3885,5651.562,36517.566,2012-07-01
Colombia,COL,COP,8600,1804.475,7518.304,13893951.476,2012-07-01
Czech Republic,CZE,CZK,70.33,21.048,22068.782,390527.324,2012-07-01
Germany,DEU,EUR,3.64,0.824844311,47621.991,34218.322,2012-07-01
Denmark,DNK,DKK,28.5,6.1356,61920.301,332432.236,2012-07-01
Egypt,EGY,EGP,16,6.0665,3077.343,17909.048,2012-07-01
Spain,ESP,EUR,3.5,0.824844311,31767.697,22826.372,2012-07-01
Estonia,EST,EUR,2.04,0.824844311,17552.466,12612.155,2012-07-01
Euro area,EUZ,EUR,3.583482241,0.824844311,41407.8918280514,29753.2395560468,2012-07-01
Finland,FIN,EUR,3.75,0.824844311,51174.768,36771.135,2012-07-01
France,FRA,EUR,3.6,0.824844311,44197.638,31757.786,2012-07-01
Britain,GBR,GBP,2.69,0.646266197,42106.64,26271.47,2012-07-01
Greece,GRC,EUR,2.683,0.824844311,25457.905,18292.532,2012-07-01
Hong Kong,HKG,HKD,16.5,7.75815,34955.147,272090.864,2012-07-01
Hungary,HUN,HUF,830,238.2151,14191.149,2853201.382,2012-07-01
Indonesia,IDN,IDR,24200,9482.5,3690.097,32363747.863,2012-07-01
India,IND,INR,89,56.165,1445.461,69268.61,2012-07-01
Ireland,IRL,EUR,3.49,0.824844311,52552.841,37761.336,2012-07-01
Israel,ISR,ILS,11.9,4.07625,34488.9,123405.745,2012-07-01
Italy,ITA,EUR,3.6,0.824844311,38475.823,27646.431,2012-07-01
Japan,JPN,JPY,320,78.22,48760.915,3891463.327,2012-07-01
South Korea,KOR,KRW,3700,1151,26177.945,29008274.446,2012-07-01
Sri Lanka,LKA,LKR,290,131,3320.074,367240.604,2012-07-01
Mexico,MEX,MXN,37,13.687,10554.35,131120.117,2012-07-01
Malaysia,MYS,MYR,7.4,3.1735,10397.902,31817.666,2012-07-01
Netherlands,NLD,EUR,3.38,0.824844311,54814.546,39386.462,2012-07-01
Norway,NOR,NOK,43,6.09205,100815.931,565033.705,2012-07-01
New Zealand,NZL,NZD,5.1,1.273560876,38111.109,48170.668,2012-07-01
Pakistan,PAK,PKR,285,94.605,1301.736,111392.932,2012-07-01
Philippines,PHL,PHP,118,42.2,2473.249,107124.203,2012-07-01
Poland,POL,PLN,9.1,3.46035,13867.857,41088.379,2012-07-01
Portugal,PRT,EUR,4.95,0.824844311,23205.117,16673.813,2012-07-01
Russia,RUS,RUB,75,32.76525,14310.213,420324.148,2012-07-01
Saudi Arabia,SAU,SAR,10,3.75025,27126.75,101725.312,2012-07-01
Singapore,SGP,SGD,4.4,1.2585,53891.462,67783.381,2012-07-01
Sweden,SWE,SEK,39.97301987,6.9777,60165.275,390685.822,2012-07-01
Thailand,THA,THB,82,31.7,5492.115,167464.121,2012-07-01
Turkey,TUR,TRY,8.25,1.8269,11361.902,19050.233,2012-07-01
Taiwan,TWN,TWD,75,30.1955,20838.589,614090.637,2012-07-01
Ukraine,UKR,UAH,15,8.0855,3587.405,28600.586,2012-07-01
Uruguay,URY,UYU,99,21.87,15341.308,296143.497,2012-07-01
United States,USA,USD,3.96,1,50008.108,50008.108,2012-07-01
Venezuela,VEN,VEF,34,4.29465,10934.275,,2012-07-01
South Africa,ZAF,ZAR,19.95,8.4683,8784.648,63715.782,2012-07-01
UAE,ARE,AED,12,3.67305,50925.197,187022.785,2013-01-01
Argentina,ARG,ARS,19,4.9765,12787.806,52810.117,2013-01-01
Australia,AUS,AUD,4.7,0.959094615,67289.332,65189.422,2013-01-01
Austria,AUT,EUR,3.39,0.736946829,51126.851,36736.705,2013-01-01
Belgium,BEL,EUR,3.8,0.736946829,47915.958,34429.549,2013-01-01
Brazil,BRA,BRL,11.25,1.99335,13326.088,22310.425,2013-01-01
Canada,CAN,CAD,5.41,1.0029,52285.815,51724.169,2013-01-01
Switzerland,CHE,CHF,6.5,0.9123,90960.228,80776.506,2013-01-01
Chile,CHL,CLP,2050,471.75,14560.249,7042319.42,2013-01-01
China,CHN,CNY,16,6.2204,5651.562,36517.566,2013-01-01
Colombia,COL,COP,8600,1773.175,7518.304,13893951.476,2013-01-01
Costa Rica,CRI,CRC,2200,500.83,9270.571,4687846.106,2013-01-01
Czech Republic,CZE,CZK,70.33,18.89495,22068.782,390527.324,2013-01-01
Germany,DEU,EUR,3.64,0.736946829,47621.991,34218.322,2013-01-01
Denmark,DNK,DKK,28.5,5.49795,61920.301,332432.236,2013-01-01
Egypt,EGY,EGP,16,6.68575,3077.343,17909.048,2013-01-01
Spain,ESP,EUR,3.5,0.736946829,31767.697,22826.372,2013-01-01
Estonia,EST,EUR,2.7,0.736946829,17552.466,12612.155,2013-01-01
Euro area,EUZ,EUR,3.594849572,0.736946829,41407.8918280514,29753.2395560468,2013-01-01
Finland,FIN,EUR,3.75,0.736946829,51174.768,36771.135,2013-01-01
France,FRA,EUR,3.6,0.736946829,44197.638,31757.786,2013-01-01
Britain,GBR,GBP,2.69,0.633211968,42106.64,26271.47,2013-01-01
Greece,GRC,EUR,3.3,0.736946829,25457.905,18292.532,2013-01-01
Hong Kong,HKG,HKD,17,7.7591,34955.147,272090.864,2013-01-01
Hungary,HUN,HUF,830,217.46935,14191.149,2853201.382,2013-01-01
Indonesia,IDN,IDR,27939,9767.5,3690.097,32363747.863,2013-01-01
India,IND,INR,89,53.395,1445.461,69268.61,2013-01-01
Ireland,IRL,EUR,3.49,0.736946829,52552.841,37761.336,2013-01-01
Israel,ISR,ILS,14.9,3.72455,34488.9,123405.745,2013-01-01
Italy,ITA,EUR,3.85,0.736946829,38475.823,27646.431,2013-01-01
Japan,JPN,JPY,320,91.065,48760.915,3891463.327,2013-01-01
South Korea,KOR,KRW,3700,1085.475,26177.945,29008274.446,2013-01-01
Sri Lanka,LKA,LKR,350,126.45,3320.074,367240.604,2013-01-01
Mexico,MEX,MXN,37,12.7384,10554.35,131120.117,2013-01-01
Malaysia,MYS,MYR,7.95,3.083,10397.902,31817.666,2013-01-01
Netherlands,NLD,EUR,3.45,0.736946829,54814.546,39386.462,2013-01-01
Norway,NOR,NOK,43,5.4831,100815.931,565033.705,2013-01-01
New Zealand,NZL,NZD,5.2,1.202428906,38111.109,48170.668,2013-01-01
Pakistan,PAK,PKR,290,97.665,1301.736,111392.932,2013-01-01
Peru,PER,PEN,10,2.5595,5904.038,16260.949,2013-01-01
Philippines,PHL,PHP,118,40.6,2473.249,107124.203,2013-01-01
Poland,POL,PLN,9.1,3.092,13867.857,41088.379,2013-01-01
Portugal,PRT,EUR,2.95,0.736946829,23205.117,16673.813,2013-01-01
Russia,RUS,RUB,72.88,30.045,14310.213,420324.148,2013-01-01
Saudi Arabia,SAU,SAR,11,3.7502,27126.75,101725.312,2013-01-01
Singapore,SGP,SGD,4.5,1.23485,53891.462,67783.381,2013-01-01
Sweden,SWE,SEK,40.55930138,6.3492,60165.275,390685.822,2013-01-01
Thailand,THA,THB,87,29.755,5492.115,167464.121,2013-01-01
Turkey,TUR,TRY,8.45,1.76875,11361.902,19050.233,2013-01-01
Taiwan,TWN,TWD,75,29.502,20838.589,614090.637,2013-01-01
Ukraine,UKR,UAH,19,8.144,3587.405,28600.586,2013-01-01
