name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
Hungary,HUN,HUF,560,206.956,10281.244,2084479.391,2006-01-01
Indonesia,IDN,IDR,14600,9460,1279.721,11439233.965,2006-01-01
Japan,JPN,JPY,250,114.305,38307.103,4144543.92,2006-01-01
South Korea,KOR,KRW,2500,977.45,17107.739,19609731.761,2006-01-01
Mexico,MEX,MXN,28,10.5425,7806.561,88104.588,2006-01-01
Malaysia,MYS,MYR,5.5,3.7488,5244.873,19930.516,2006-01-01
New Zealand,NZL,NZD,4.45,1.4467,24849.116,37422.897,2006-01-01
Peru,PER,PEN,9.5,3.446,2405.294,8209.37,2006-01-01
Philippines,PHL,PHP,82,52.58,1137.068,63721.173,2006-01-01
Poland,POL,PLN,6.5,3.1151,6715.106,24543.712,2006-01-01
Russia,RUS,RUB,46,28.67,4395.821,126634.968,2006-01-01
Singapore,SGP,SGD,3.6,1.6353,27608.075,46663.95,2006-01-01
Sweden,SWE,SEK,33,7.7119,42673.334,313601.495,2006-01-01
Thailand,THA,THB,60,39.755,2660.126,106996.686,2006-01-01
Turkey,TUR,TRY,4.1,1.3365,6040.164,8649.443,2006-01-01
Taiwan,TWN,TWD,75,31.9495,15290.307,511092.54,2006-01-01
United States,USA,USD,2.67,1,41641.617,41641.617,2006-01-01
Venezuela,VEN,VEF,5900,2615.92,4311.999,,2006-01-01
South Africa,ZAF,ZAR,13.95,6.0803,5392.861,34784.402,2006-01-01
UAE,ARE,AED,9,3.6726,39389.226,144656.934,2006-05-01
Argentina,ARG,ARS,7,3.0565,5163.55,15094.732,2006-05-01
Australia,AUS,AUD,3.25,1.33253,36260.401,47471.037,2006-05-01
Brazil,BRA,BRL,6.4,2.3045,4806.171,11700.103,2006-05-01
Canada,CAN,CAD,3.52,1.12045,36440.967,44144.774,2006-05-01
Switzerland,CHE,CHF,6.3,1.20885,56407.381,70237.154,2006-05-01
Chile,CHL,CLP,1560,529.95,7558.009,4230727.997,2006-05-01
China,CHN,CNY,10.5,8.026,1778.515,14574.192,2006-05-01
Colombia,COL,COP,6500,2503.6,3493.976,8109977.669,2006-05-01
Costa Rica,CRI,CRC,1130,509.535,4756.337,2271994.957,2006-05-01
Czech Republic,CZE,CZK,59.05,22.1078,13458.775,322437.47,2006-05-01
Denmark,DNK,DKK,27.75,5.81825,48998.314,293838.476,2006-05-01
Egypt,EGY,EGP,9.5,5.77075,1331.362,8008.765,2006-05-01
Euro area,EUZ,EUR,2.939573529,0.780365992,33259.7521049953,26719.4267628036,2006-05-01
Britain,GBR,GBP,1.94,0.531801744,42143.874,23153.113,2006-05-01
Hong Kong,HKG,HKD,12,7.7533,26551.769,206517.447,2006-05-01
Hungary,HUN,HUF,560,206.3444,11200.063,2235336.601,2006-05-01
Indonesia,IDN,IDR,14600,9325,1404.348,13628832.874,2006-05-01
Japan,JPN,JPY,250,112.105,37819.107,4168354.311,2006-05-01
