name,iso_a3,currency_code,local_price,dollar_ex,date
United States,USA,USD,1.6,1,1986-09-01T00:00:00Z
Australia,AUS,AUD,1.75,1.64,1986-09-01T00:00:00Z
Belgium,BEL,BEF,90,42,1986-09-01T00:00:00Z
Brazil,BRA,BRC,2.5,13.8,1986-09-01T00:00:00Z
Britain,GBR,GBP,1.1,0.67,1986-09-01T00:00:00Z
Canada,CAN,CAD,1.89,1.39,1986-09-01T00:00:00Z
France,FRA,FRF,16.4,6.65,1986-09-01T00:00:00Z
Hong Kong,HKG,HKD,7.6,7.8,1986-09-01T00:00:00Z
Ireland,IRL,IEP,1.18,0.74,1986-09-01T00:00:00Z
Japan,JPN,JPY,370,154,1986-09-01T00:00:00Z
Singapore,SGP,SGD,2.8,2.15,1986-09-01T00:00:00Z
Sweden,SWE,SEK,16.5,6.87,1986-09-01T00:00:00Z
West Germany,DEU,DEM,4.25,2.02,1986-09-01T00:00:00Z
United States,USA,USD,1.6,1,1987-01-01T00:00:00Z
Belgium,BEL,BEF,90,39.13207547,1987-01-01T00:00:00Z
Britain,GBR,GBP,1.13,0.679245283,1987-01-01T00:00:00Z
Denmark,DNK,DKK,21.5,7.188679245,1987-01-01T00:00:00Z
France,FRA,FRF,17.4,6.301886792,1987-01-01T00:00:00Z
Netherlands,NLD,NLG,4.5,2.132075472,1987-01-01T00:00:00Z
Ireland,IRL,IEP,1.18,0.698113208,1987-01-01T00:00:00Z
Italy,ITA,ITL,3300,1341.509434,1987-01-01T00:00:00Z
West Germany,DEU,DEM,4.1,1.886792453,1987-01-01T00:00:00Z
United States,USA,USD,2.39,1,1988-03-01T00:00:00Z
Australia,AUS,AUD,1.95,1.36,1988-03-01T00:00:00Z
Belgium,BEL,BEF,90,34.8,1988-03-01T00:00:00Z
Britain,GBR,GBP,1.19,0.54,1988-03-01T00:00:00Z
Canada,CAN,CAD,2.05,1.24,1988-03-01T00:00:00Z
Denmark,DNK,DKK,22.75,6.36,1988-03-01T00:00:00Z
France,FRA,FRF,17.3,5.63,1988-03-01T00:00:00Z
Netherlands,NLD,NLG,4.85,1.86,1988-03-01T00:00:00Z
Hong Kong,HKG,HKD,7.6,7.8,1988-03-01T00:00:00Z
Ireland,IRL,IEP,1.22,0.62,1988-03-01T00:00:00Z
Italy,ITA,ITL,3300,1229,1988-03-01T00:00:00Z
Japan,JPN,JPY,370,124,1988-03-01T00:00:00Z
Singapore,SGP,SGD,2.8,2,1988-03-01T00:00:00Z
Spain,ESP,ESP,285,111,1988-03-01T00:00:00Z
Sweden,SWE,SEK,18.5,5.89,1988-03-01T00:00:00Z
West Germany,DEU,DEM,4.1,1.66,1988-03-01T00:00:00Z
Yugoslavia,YUG,YUD,2300,1400,1988-03-01T00:00:00Z
United States,USA,USD,2.02,1,1989-04-01T00:00:00Z
Australia,AUS,AUD,2.1,1.24,1989-04-01T00:00:00Z
Belgium,BEL,BEF,90,39.5,1989-04-01T00:00:00Z
Britain,GBR,GBP,1.26,0.59,1989-04-01T00:00:00Z
Canada,CAN,CAD,2.15,1.19,1989-04-01T00:00:00Z
Denmark,DNK,DKK,24.75,7.33,1989-04-01T00:00:00Z
France,FRA,FRF,17.7,6.37,1989-04-01T00:00:00Z
Netherlands,NLD,NLG,5.1,2.13,1989-04-01T00:00:00Z
Hong Kong,HKG,HKD,7.6,7.78,1989-04-01T00:00:00Z
Ireland,IRL,IEP,1.3,0.71,1989-04-01T00:00:00Z
Italy,ITA,ITL,3300,1382,1989-04-01T00:00:00Z
Japan,JPN,JPY,370,133,1989-04-01T00:00:00Z
Singapore,SGP,SGD,2.8,1.96,1989-04-01T00:00:00Z
South Korea,KOR,KRW,2400,666,1989-04-01T00:00:00Z
Spain,ESP,ESP,280,117,1989-04-01T00:00:00Z
Sweden,SWE,SEK,21,6.41,1989-04-01T00:00:00Z
West Germany,DEU,DEM,4.3,1.89,1989-04-01T00:00:00Z
Yugoslavia,YUG,YUD,7000,9001,1989-04-01T00:00:00Z
United States,USA,USD,2.2,1,1990-04-01T00:00:00Z
Australia,AUS,AUD,2.3,1.32,1990-04-01T00:00:00Z
Belgium,BEL,BEF,97,34.65,1990-04-01T00:00:00Z
Britain,GBR,GBP,1.4,0.61,1990-04-01T00:00:00Z
Canada,CAN,CAD,2.19,1.16,1990-04-01T00:00:00Z
Denmark,DNK,DKK,25.5,6.39,1990-04-01T00:00:00Z
France,FRA,FRF,17.7,5.63,1990-04-01T00:00:00Z
Netherlands,NLD,NLG,5.25,1.88,1990-04-01T00:00:00Z
Hong Kong,HKG,HKD,8.6,7.79,1990-04-01T00:00:00Z
Ireland,IRL,IEP,1.3,0.63,1990-04-01T00:00:00Z
Italy,ITA,ITL,3900,1230,1990-04-01T00:00:00Z
Japan,JPN,JPY,370,159,1990-04-01T00:00:00Z
Singapore,SGP,SGD,2.6,1.88,1990-04-01T00:00:00Z
South Korea,KOR,KRW,2100,707,1990-04-01T00:00:00Z
Soviet Union,SUN,SUR,3.75,0.6,1990-04-01T00:00:00Z
Spain,ESP,ESP,295,106,1990-04-01T00:00:00Z
Sweden,SWE,SEK,24,6.1,1990-04-01T00:00:00Z
West Germany,DEU,DEM,4.3,1.68,1990-04-01T00:00:00Z
Yugoslavia,YUG,YUN,16,11.72,1990-04-01T00:00:00Z
United States,USA,USD,2.25,1,1991-04-01T00:00:00Z
Australia,AUS,AUD,2.45,1.27,1991-04-01T00:00:00Z
Belgium,BEL,BEF,100,34.5,1991-04-01T00:00:00Z
Britain,GBR,GBP,1.67,0.56,1991-04-01T00:00:00Z
Canada,CAN,CAD,2.35,1.15,1991-04-01T00:00:00Z
Denmark,DNK,DKK,26.75,6.42,1991-04-01T00:00:00Z
France,FRA,FRF,18,5.65,1991-04-01T00:00:00Z
Germany,DEU,DEM,4.3,1.67,1991-04-01T00:00:00Z
Netherlands,NLD,NLG,5.25,1.88,1991-04-01T00:00:00Z
Hong Kong,HKG,HKD,8.9,7.79,1991-04-01T00:00:00Z
Hungary,HUN,HUF,115,75.12,1991-04-01T00:00:00Z
Ireland,IRL,IEP,1.4,0.62,1991-04-01T00:00:00Z
Italy,ITA,ITL,3600,1239,1991-04-01T00:00:00Z
Japan,JPN,JPY,380,135,1991-04-01T00:00:00Z
Singapore,SGP,SGD,2.8,1.77,1991-04-01T00:00:00Z
South Korea,KOR,KRW,2100,721,1991-04-01T00:00:00Z
Soviet Union,SUN,SUR,10,1.74,1991-04-01T00:00:00Z
Spain,ESP,ESP,350,103,1991-04-01T00:00:00Z
Sweden,SWE,SEK,26,6.04,1991-04-01T00:00:00Z
Yugoslavia,YUG,YUN,32,15.12,1991-04-01T00:00:00Z
United States,USA,USD,2.19,1,1992-04-01T00:00:00Z
Argentina,ARG,ARS,3.3,0.99,1992-04-01T00:00:00Z
Australia,AUS,AUD,2.54,1.31,1992-04-01T00:00:00Z
Belgium,BEL,BEF,108,33.55,1992-04-01T00:00:00Z
Brazil,BRA,BRE,3800,2153,1992-04-01T00:00:00Z
Britain,GBR,GBP,1.74,0.57,1992-04-01T00:00:00Z
Canada,CAN,CAD,2.76,1.19,1992-04-01T00:00:00Z
China,CHN,CNY,6.3,5.44,1992-04-01T00:00:00Z
Denmark,DNK,DKK,27.25,6.32,1992-04-01T00:00:00Z
France,FRA,FRF,18.1,5.55,1992-04-01T00:00:00Z
Germany,DEU,DEM,4.5,1.64,1992-04-01T00:00:00Z
Netherlands,NLD,NLG,5.35,1.84,1992-04-01T00:00:00Z
Hong Kong,HKG,HKD,8.9,7.73,1992-04-01T00:00:00Z
Hungary,HUN,HUF,133,79.7,1992-04-01T00:00:00Z
Ireland,IRL,IEP,1.45,0.61,1992-04-01T00:00:00Z
Italy,ITA,ITL,4100,1233,1992-04-01T00:00:00Z
Japan,JPN,JPY,380,133,1992-04-01T00:00:00Z
Russia,RUS,RUR,58,98.95,1992-04-01T00:00:00Z
Singapore,SGP,SGD,4.75,1.65,1992-04-01T00:00:00Z
South Korea,KOR,KRW,2300,778,1992-04-01T00:00:00Z
Spain,ESP,ESP,315,102,1992-04-01T00:00:00Z
Sweden,SWE,SEK,25.5,5.93,1992-04-01T00:00:00Z
Venezuela,VEN,VEB,170,60.63,1992-04-01T00:00:00Z
United States,USA,USD,2.28,1,1993-04-01T00:00:00Z
Argentina,ARG,ARS,3.6,1,1993-04-01T00:00:00Z
Australia,AUS,AUD,2.45,1.39,1993-04-01T00:00:00Z
Belgium,BEL,BEF,109,32.45,1993-04-01T00:00:00Z
Brazil,BRA,BRE,77000,27521,1993-04-01T00:00:00Z
Britain,GBR,GBP,1.79,0.641025641,1993-04-01T00:00:00Z
Canada,CAN,CAD,2.76,1.26,1993-04-01T00:00:00Z
China,CHN,CNY,8.5,5.68,1993-04-01T00:00:00Z
Denmark,DNK,DKK,25.75,6.06,1993-04-01T00:00:00Z
France,FRA,FRF,18.5,5.34,1993-04-01T00:00:00Z
Germany,DEU,DEM,4.6,1.58,1993-04-01T00:00:00Z
Netherlands,NLD,NLG,5.45,1.77,1993-04-01T00:00:00Z
Hong Kong,HKG,HKD,9,7.73,1993-04-01T00:00:00Z
Hungary,HUN,HUF,157,88.18,1993-04-01T00:00:00Z
